entity1,entity2,increm1,increm2,theoryType,ability,effort,difficulty,response,practice0,practice6,practice10,sanity0,sanity1,workerID,gender,heardOf
2,2,5,4,improvement,low,low,difficult,0.12,0.01,0.62,0.99,0.15,0.98,82,male,no
2,2,5,4,improvement,high,low,difficult,0.13,0.01,0.62,0.99,0.15,0.98,82,male,no
2,2,5,4,improvement,high,high,easy,0.15,0.01,0.62,0.99,0.15,0.98,82,male,no
2,2,5,4,improvement,high,low,easy,0.16,0.01,0.62,0.99,0.15,0.98,82,male,no
2,2,5,4,improvement,low,high,easy,0.15,0.01,0.62,0.99,0.15,0.98,82,male,no
2,2,5,4,performance,high,low,difficult,0.68,0.01,0.62,0.99,0.15,0.98,82,male,no
2,2,5,4,performance,high,high,difficult,0.85,0.01,0.62,0.99,0.15,0.98,82,male,no
2,2,5,4,performance,low,high,easy,0.66,0.01,0.62,0.99,0.15,0.98,82,male,no
2,2,5,4,performance,low,low,difficult,0.11,0.01,0.62,0.99,0.15,0.98,82,male,no
2,2,5,4,performance,low,medium,difficult,0.57,0.01,0.62,0.99,0.15,0.98,82,male,no
2,2,5,4,performance,low,high,difficult,0.6,0.01,0.62,0.99,0.15,0.98,82,male,no
4,5,3,3,performance,high,high,difficult,0.5,0.0,0.57,1.0,0.5,1.0,83,male,no
4,5,3,3,performance,low,medium,easy,0.5,0.0,0.57,1.0,0.5,1.0,83,male,no
4,5,3,3,performance,high,high,easy,0.5,0.0,0.57,1.0,0.5,1.0,83,male,no
4,5,3,3,performance,high,medium,difficult,0.5,0.0,0.57,1.0,0.5,1.0,83,male,no
4,5,3,3,performance,low,high,difficult,0.5,0.0,0.57,1.0,0.5,1.0,83,male,no
4,5,3,3,performance,low,high,easy,0.5,0.0,0.57,1.0,0.5,1.0,83,male,no
4,5,3,3,improvement,high,high,difficult,0.5,0.0,0.57,1.0,0.5,1.0,83,male,no
4,5,3,3,improvement,high,medium,difficult,0.5,0.0,0.57,1.0,0.5,1.0,83,male,no
4,5,3,3,improvement,high,high,easy,0.5,0.0,0.57,1.0,0.5,1.0,83,male,no
4,5,3,3,improvement,low,high,difficult,0.5,0.0,0.57,1.0,0.5,1.0,83,male,no
4,5,3,3,improvement,high,medium,easy,0.5,0.0,0.57,1.0,0.5,1.0,83,male,no
4,5,3,3,improvement,high,low,easy,0.5,0.0,0.57,1.0,0.5,1.0,83,male,no
1,2,4,5,improvement,high,high,easy,0.04,0.0,0.56,1.0,0.0,1.0,84,female,no
1,2,4,5,improvement,low,medium,easy,0.62,0.0,0.56,1.0,0.0,1.0,84,female,no
1,2,4,5,improvement,high,high,difficult,0.87,0.0,0.56,1.0,0.0,1.0,84,female,no
1,2,4,5,improvement,low,low,difficult,0,0.0,0.56,1.0,0.0,1.0,84,female,no
1,2,4,5,improvement,low,low,easy,0.1,0.0,0.56,1.0,0.0,1.0,84,female,no
1,2,4,5,improvement,high,medium,easy,0.01,0.0,0.56,1.0,0.0,1.0,84,female,no
1,2,4,5,performance,low,high,difficult,0.38,0.0,0.56,1.0,0.0,1.0,84,female,no
1,2,4,5,performance,low,low,easy,0.21,0.0,0.56,1.0,0.0,1.0,84,female,no
1,2,4,5,performance,high,high,difficult,0.76,0.0,0.56,1.0,0.0,1.0,84,female,no
1,2,4,5,performance,low,medium,easy,0.73,0.0,0.56,1.0,0.0,1.0,84,female,no
1,2,4,5,performance,high,medium,difficult,0.6,0.0,0.56,1.0,0.0,1.0,84,female,no
1,2,4,5,performance,high,medium,easy,1,0.0,0.56,1.0,0.0,1.0,84,female,no
3,4,5,5,improvement,high,medium,difficult,0.67,0.98,1.0,0.99,0.01,1.0,85,female,no
3,4,5,5,improvement,high,high,difficult,0.99,0.98,1.0,0.99,0.01,1.0,85,female,no
3,4,5,5,improvement,high,low,difficult,0.55,0.98,1.0,0.99,0.01,1.0,85,female,no
3,4,5,5,improvement,low,high,difficult,0.87,0.98,1.0,0.99,0.01,1.0,85,female,no
3,4,5,5,improvement,high,medium,easy,0.63,0.98,1.0,0.99,0.01,1.0,85,female,no
3,4,5,5,improvement,low,high,easy,0.79,0.98,1.0,0.99,0.01,1.0,85,female,no
3,4,5,5,performance,low,low,difficult,0.69,0.98,1.0,0.99,0.01,1.0,85,female,no
3,4,5,5,performance,low,medium,easy,0.8,0.98,1.0,0.99,0.01,1.0,85,female,no
3,4,5,5,performance,high,medium,easy,0.85,0.98,1.0,0.99,0.01,1.0,85,female,no
3,4,5,5,performance,high,low,easy,0.78,0.98,1.0,0.99,0.01,1.0,85,female,no
3,4,5,5,performance,high,low,difficult,0.78,0.98,1.0,0.99,0.01,1.0,85,female,no
3,4,5,5,performance,low,medium,difficult,0.74,0.98,1.0,0.99,0.01,1.0,85,female,no
1,1,6,5,performance,high,medium,easy,0.66,0.02,0.58,0.91,0.06,0.61,86,female,no
1,1,6,5,performance,low,medium,easy,0.42,0.02,0.58,0.91,0.06,0.61,86,female,no
1,1,6,5,performance,low,medium,difficult,0.37,0.02,0.58,0.91,0.06,0.61,86,female,no
1,1,6,5,performance,high,medium,difficult,0.59,0.02,0.58,0.91,0.06,0.61,86,female,no
1,1,6,5,performance,low,low,easy,0.62,0.02,0.58,0.91,0.06,0.61,86,female,no
1,1,6,5,performance,high,low,difficult,0.45,0.02,0.58,0.91,0.06,0.61,86,female,no
1,1,6,5,improvement,low,high,difficult,0.75,0.02,0.58,0.91,0.06,0.61,86,female,no
1,1,6,5,improvement,low,low,difficult,0.33,0.02,0.58,0.91,0.06,0.61,86,female,no
1,1,6,5,improvement,low,medium,easy,0.5,0.02,0.58,0.91,0.06,0.61,86,female,no
1,1,6,5,improvement,low,medium,difficult,0.18,0.02,0.58,0.91,0.06,0.61,86,female,no
1,1,6,5,improvement,high,low,easy,0.12,0.02,0.58,0.91,0.06,0.61,86,female,no
1,1,6,5,improvement,high,medium,difficult,0.29,0.02,0.58,0.91,0.06,0.61,86,female,no
5,5,2,2,improvement,high,medium,easy,0.6,0.0,0.58,1.0,0.01,0.95,87,female,no
5,5,2,2,improvement,low,medium,easy,0.32,0.0,0.58,1.0,0.01,0.95,87,female,no
5,5,2,2,improvement,low,low,difficult,0.01,0.0,0.58,1.0,0.01,0.95,87,female,no
5,5,2,2,improvement,low,low,easy,0,0.0,0.58,1.0,0.01,0.95,87,female,no
5,5,2,2,improvement,high,high,difficult,0.97,0.0,0.58,1.0,0.01,0.95,87,female,no
5,5,2,2,improvement,high,medium,difficult,0.67,0.0,0.58,1.0,0.01,0.95,87,female,no
5,5,2,2,performance,high,medium,difficult,0.69,0.0,0.58,1.0,0.01,0.95,87,female,no
5,5,2,2,performance,high,high,easy,0.87,0.0,0.58,1.0,0.01,0.95,87,female,no
5,5,2,2,performance,high,medium,easy,0.87,0.0,0.58,1.0,0.01,0.95,87,female,no
5,5,2,2,performance,low,low,easy,0.11,0.0,0.58,1.0,0.01,0.95,87,female,no
5,5,2,2,performance,low,high,easy,0.39,0.0,0.58,1.0,0.01,0.95,87,female,no
5,5,2,2,performance,high,low,easy,0.68,0.0,0.58,1.0,0.01,0.95,87,female,no
5,5,2,2,performance,high,low,difficult,0.74,0.0,0.59,1.0,0.0,1.0,88,male,no
5,5,2,2,performance,high,high,easy,0.94,0.0,0.59,1.0,0.0,1.0,88,male,no
5,5,2,2,performance,low,low,difficult,0.18,0.0,0.59,1.0,0.0,1.0,88,male,no
5,5,2,2,performance,low,medium,easy,0.27,0.0,0.59,1.0,0.0,1.0,88,male,no
5,5,2,2,performance,high,medium,difficult,0.6,0.0,0.59,1.0,0.0,1.0,88,male,no
5,5,2,2,performance,low,high,difficult,0.26,0.0,0.59,1.0,0.0,1.0,88,male,no
5,5,2,2,improvement,low,high,difficult,0.28,0.0,0.59,1.0,0.0,1.0,88,male,no
5,5,2,2,improvement,high,high,difficult,0.54,0.0,0.59,1.0,0.0,1.0,88,male,no
5,5,2,2,improvement,high,medium,easy,0.35,0.0,0.59,1.0,0.0,1.0,88,male,no
5,5,2,2,improvement,low,low,difficult,0.38,0.0,0.59,1.0,0.0,1.0,88,male,no
5,5,2,2,improvement,low,high,easy,0.26,0.0,0.59,1.0,0.0,1.0,88,male,no
5,5,2,2,improvement,low,medium,easy,0.28,0.0,0.59,1.0,0.0,1.0,88,male,no
2,2,5,4,performance,high,low,easy,0.86,0.0,0.63,1.0,0.04,0.89,89,female,no
2,2,5,4,performance,low,low,easy,0.67,0.0,0.63,1.0,0.04,0.89,89,female,no
2,2,5,4,performance,low,high,easy,0.78,0.0,0.63,1.0,0.04,0.89,89,female,no
2,2,5,4,performance,high,high,difficult,0.82,0.0,0.63,1.0,0.04,0.89,89,female,no
2,2,5,4,performance,low,medium,easy,0.58,0.0,0.63,1.0,0.04,0.89,89,female,no
2,2,5,4,performance,high,low,difficult,0.43,0.0,0.63,1.0,0.04,0.89,89,female,no
2,2,5,4,improvement,low,low,difficult,0.3,0.0,0.63,1.0,0.04,0.89,89,female,no
2,2,5,4,improvement,high,low,easy,0,0.0,0.63,1.0,0.04,0.89,89,female,no
2,2,5,4,improvement,low,medium,easy,0.38,0.0,0.63,1.0,0.04,0.89,89,female,no
2,2,5,4,improvement,high,medium,difficult,0.58,0.0,0.63,1.0,0.04,0.89,89,female,no
2,2,5,4,improvement,low,low,easy,0,0.0,0.63,1.0,0.04,0.89,89,female,no
2,2,5,4,improvement,high,medium,easy,0.4,0.0,0.63,1.0,0.04,0.89,89,female,no
5,5,5,4,performance,high,medium,easy,0.57,0.01,0.63,0.93,0.65,0.58,90,female,no
5,5,5,4,performance,high,high,difficult,0.61,0.01,0.63,0.93,0.65,0.58,90,female,no
5,5,5,4,performance,high,low,easy,0.58,0.01,0.63,0.93,0.65,0.58,90,female,no
5,5,5,4,performance,high,medium,difficult,0.72,0.01,0.63,0.93,0.65,0.58,90,female,no
5,5,5,4,performance,low,high,difficult,0.61,0.01,0.63,0.93,0.65,0.58,90,female,no
5,5,5,4,performance,high,low,difficult,0.6,0.01,0.63,0.93,0.65,0.58,90,female,no
5,5,5,4,improvement,low,medium,easy,0.69,0.01,0.63,0.93,0.65,0.58,90,female,no
5,5,5,4,improvement,low,high,easy,0.64,0.01,0.63,0.93,0.65,0.58,90,female,no
5,5,5,4,improvement,low,low,easy,0.69,0.01,0.63,0.93,0.65,0.58,90,female,no
5,5,5,4,improvement,low,medium,difficult,0.74,0.01,0.63,0.93,0.65,0.58,90,female,no
5,5,5,4,improvement,high,medium,easy,0.73,0.01,0.63,0.93,0.65,0.58,90,female,no
5,5,5,4,improvement,high,high,easy,0.71,0.01,0.63,0.93,0.65,0.58,90,female,no
5,5,1,1,performance,high,high,easy,0.87,0.0,0.61,1.0,0.0,1.0,91,male,no
5,5,1,1,performance,low,medium,easy,0.5,0.0,0.61,1.0,0.0,1.0,91,male,no
5,5,1,1,performance,low,low,easy,0.42,0.0,0.61,1.0,0.0,1.0,91,male,no
5,5,1,1,performance,low,high,difficult,0.28,0.0,0.61,1.0,0.0,1.0,91,male,no
5,5,1,1,performance,low,high,easy,0.62,0.0,0.61,1.0,0.0,1.0,91,male,no
5,5,1,1,performance,high,high,difficult,0.91,0.0,0.61,1.0,0.0,1.0,91,male,no
5,5,1,1,improvement,low,medium,easy,0.1,0.0,0.61,1.0,0.0,1.0,91,male,no
5,5,1,1,improvement,low,low,difficult,0,0.0,0.61,1.0,0.0,1.0,91,male,no
5,5,1,1,improvement,high,medium,easy,0,0.0,0.61,1.0,0.0,1.0,91,male,no
5,5,1,1,improvement,high,medium,difficult,0.09,0.0,0.61,1.0,0.0,1.0,91,male,no
5,5,1,1,improvement,low,high,easy,0.08,0.0,0.61,1.0,0.0,1.0,91,male,no
5,5,1,1,improvement,high,high,difficult,0.16,0.0,0.61,1.0,0.0,1.0,91,male,no
2,4,6,6,performance,low,low,difficult,0.43,0.0,0.42,1.0,0.36,1.0,92,male,no
2,4,6,6,performance,high,low,easy,0.77,0.0,0.42,1.0,0.36,1.0,92,male,no
2,4,6,6,performance,low,medium,difficult,0.67,0.0,0.42,1.0,0.36,1.0,92,male,no
2,4,6,6,performance,high,medium,easy,0.9,0.0,0.42,1.0,0.36,1.0,92,male,no
2,4,6,6,performance,high,low,difficult,0.8,0.0,0.42,1.0,0.36,1.0,92,male,no
2,4,6,6,performance,low,low,easy,0.64,0.0,0.42,1.0,0.36,1.0,92,male,no
2,4,6,6,improvement,low,high,difficult,0.88,0.0,0.42,1.0,0.36,1.0,92,male,no
2,4,6,6,improvement,low,low,difficult,0.18,0.0,0.42,1.0,0.36,1.0,92,male,no
2,4,6,6,improvement,high,low,easy,0,0.0,0.42,1.0,0.36,1.0,92,male,no
2,4,6,6,improvement,high,high,easy,0.13,0.0,0.42,1.0,0.36,1.0,92,male,no
2,4,6,6,improvement,high,medium,difficult,0.57,0.0,0.42,1.0,0.36,1.0,92,male,no
2,4,6,6,improvement,low,medium,difficult,0.4,0.0,0.42,1.0,0.36,1.0,92,male,no
3,4,3,2,performance,high,high,difficult,0.9,0.0,0.61,1.0,0.0,1.0,93,male,no
3,4,3,2,performance,low,low,difficult,0.09,0.0,0.61,1.0,0.0,1.0,93,male,no
3,4,3,2,performance,low,medium,easy,0.32,0.0,0.61,1.0,0.0,1.0,93,male,no
3,4,3,2,performance,high,high,easy,0.89,0.0,0.61,1.0,0.0,1.0,93,male,no
3,4,3,2,performance,high,medium,easy,0.72,0.0,0.61,1.0,0.0,1.0,93,male,no
3,4,3,2,performance,low,medium,difficult,0.29,0.0,0.61,1.0,0.0,1.0,93,male,no
3,4,3,2,improvement,high,low,difficult,0.11,0.0,0.61,1.0,0.0,1.0,93,male,no
3,4,3,2,improvement,high,medium,easy,0.3,0.0,0.61,1.0,0.0,1.0,93,male,no
3,4,3,2,improvement,low,low,easy,0.08,0.0,0.61,1.0,0.0,1.0,93,male,no
3,4,3,2,improvement,low,low,difficult,0.18,0.0,0.61,1.0,0.0,1.0,93,male,no
3,4,3,2,improvement,low,medium,difficult,0.56,0.0,0.61,1.0,0.0,1.0,93,male,no
3,4,3,2,improvement,high,medium,difficult,0.56,0.0,0.61,1.0,0.0,1.0,93,male,no
3,3,4,4,improvement,high,medium,difficult,0.66,0.0,0.55,1.0,0.0,1.0,94,male,no
3,3,4,4,improvement,low,low,easy,0.68,0.0,0.55,1.0,0.0,1.0,94,male,no
3,3,4,4,improvement,low,high,easy,0.74,0.0,0.55,1.0,0.0,1.0,94,male,no
3,3,4,4,improvement,high,low,difficult,0.5,0.0,0.55,1.0,0.0,1.0,94,male,no
3,3,4,4,improvement,low,medium,easy,0.61,0.0,0.55,1.0,0.0,1.0,94,male,no
3,3,4,4,improvement,high,medium,easy,0.51,0.0,0.55,1.0,0.0,1.0,94,male,no
3,3,4,4,performance,high,medium,easy,0.83,0.0,0.55,1.0,0.0,1.0,94,male,no
3,3,4,4,performance,low,high,difficult,0.27,0.0,0.55,1.0,0.0,1.0,94,male,no
3,3,4,4,performance,low,high,easy,0.69,0.0,0.55,1.0,0.0,1.0,94,male,no
3,3,4,4,performance,high,high,difficult,0.8,0.0,0.55,1.0,0.0,1.0,94,male,no
3,3,4,4,performance,high,high,easy,1,0.0,0.55,1.0,0.0,1.0,94,male,no
3,3,4,4,performance,low,low,difficult,0.11,0.0,0.55,1.0,0.0,1.0,94,male,no
1,1,6,6,performance,high,high,easy,0.86,0.0,0.55,1.0,0.0,1.0,95,male,no
1,1,6,6,performance,low,low,easy,0.05,0.0,0.55,1.0,0.0,1.0,95,male,no
1,1,6,6,performance,low,medium,easy,0.33,0.0,0.55,1.0,0.0,1.0,95,male,no
1,1,6,6,performance,high,low,difficult,0.5,0.0,0.55,1.0,0.0,1.0,95,male,no
1,1,6,6,performance,low,low,difficult,0.05,0.0,0.55,1.0,0.0,1.0,95,male,no
1,1,6,6,performance,high,medium,difficult,0.7,0.0,0.55,1.0,0.0,1.0,95,male,no
1,1,6,6,improvement,low,low,difficult,0,0.0,0.55,1.0,0.0,1.0,95,male,no
1,1,6,6,improvement,high,medium,easy,0.63,0.0,0.55,1.0,0.0,1.0,95,male,no
1,1,6,6,improvement,high,low,easy,0.63,0.0,0.55,1.0,0.0,1.0,95,male,no
1,1,6,6,improvement,high,high,difficult,1,0.0,0.55,1.0,0.0,1.0,95,male,no
1,1,6,6,improvement,high,low,difficult,0.54,0.0,0.55,1.0,0.0,1.0,95,male,no
1,1,6,6,improvement,high,high,easy,0.55,0.0,0.55,1.0,0.0,1.0,95,male,no
4,5,2,3,performance,high,medium,difficult,0.75,0.0,0.72,1.0,0.0,1.0,96,female,no
4,5,2,3,performance,high,low,difficult,0.5,0.0,0.72,1.0,0.0,1.0,96,female,no
4,5,2,3,performance,high,medium,easy,0.86,0.0,0.72,1.0,0.0,1.0,96,female,no
4,5,2,3,performance,low,medium,easy,0.35,0.0,0.72,1.0,0.0,1.0,96,female,no
4,5,2,3,performance,low,high,difficult,0.45,0.0,0.72,1.0,0.0,1.0,96,female,no
4,5,2,3,performance,high,high,easy,1,0.0,0.72,1.0,0.0,1.0,96,female,no
4,5,2,3,improvement,low,high,difficult,0.84,0.0,0.72,1.0,0.0,1.0,96,female,no
4,5,2,3,improvement,low,medium,difficult,0.37,0.0,0.72,1.0,0.0,1.0,96,female,no
4,5,2,3,improvement,low,medium,easy,0.56,0.0,0.72,1.0,0.0,1.0,96,female,no
4,5,2,3,improvement,high,high,easy,0.7,0.0,0.72,1.0,0.0,1.0,96,female,no
4,5,2,3,improvement,high,medium,easy,0.52,0.0,0.72,1.0,0.0,1.0,96,female,no
4,5,2,3,improvement,low,high,easy,0.91,0.0,0.72,1.0,0.0,1.0,96,female,no
6,6,1,1,performance,low,medium,easy,0.31,0.01,0.61,0.97,0.02,0.98,97,female,no
6,6,1,1,performance,high,low,easy,0.75,0.01,0.61,0.97,0.02,0.98,97,female,no
6,6,1,1,performance,low,low,easy,0.13,0.01,0.61,0.97,0.02,0.98,97,female,no
6,6,1,1,performance,low,low,difficult,0.08,0.01,0.61,0.97,0.02,0.98,97,female,no
6,6,1,1,performance,high,low,difficult,0.71,0.01,0.61,0.97,0.02,0.98,97,female,no
6,6,1,1,performance,low,high,difficult,0.43,0.01,0.61,0.97,0.02,0.98,97,female,no
6,6,1,1,improvement,high,medium,difficult,0.79,0.01,0.61,0.97,0.02,0.98,97,female,no
6,6,1,1,improvement,high,low,difficult,0.65,0.01,0.61,0.97,0.02,0.98,97,female,no
6,6,1,1,improvement,low,medium,easy,0.27,0.01,0.61,0.97,0.02,0.98,97,female,no
6,6,1,1,improvement,low,low,easy,0.17,0.01,0.61,0.97,0.02,0.98,97,female,no
6,6,1,1,improvement,low,high,easy,0.61,0.01,0.61,0.97,0.02,0.98,97,female,no
6,6,1,1,improvement,high,high,easy,0.89,0.01,0.61,0.97,0.02,0.98,97,female,no
5,5,2,2,performance,low,low,difficult,0.09,0.02,0.62,0.97,0.02,0.99,98,male,yes
5,5,2,2,performance,high,high,difficult,0.84,0.02,0.62,0.97,0.02,0.99,98,male,yes
5,5,2,2,performance,high,low,difficult,0.55,0.02,0.62,0.97,0.02,0.99,98,male,yes
5,5,2,2,performance,low,medium,easy,0.34,0.02,0.62,0.97,0.02,0.99,98,male,yes
5,5,2,2,performance,high,medium,difficult,0.71,0.02,0.62,0.97,0.02,0.99,98,male,yes
5,5,2,2,performance,high,medium,easy,0.72,0.02,0.62,0.97,0.02,0.99,98,male,yes
5,5,2,2,improvement,high,low,difficult,0.03,0.02,0.62,0.97,0.02,0.99,98,male,yes
5,5,2,2,improvement,low,low,easy,0.01,0.02,0.62,0.97,0.02,0.99,98,male,yes
5,5,2,2,improvement,low,high,difficult,0.64,0.02,0.62,0.97,0.02,0.99,98,male,yes
5,5,2,2,improvement,high,low,easy,0.01,0.02,0.62,0.97,0.02,0.99,98,male,yes
5,5,2,2,improvement,low,medium,easy,0.15,0.02,0.62,0.97,0.02,0.99,98,male,yes
5,5,2,2,improvement,low,low,difficult,0.07,0.02,0.62,0.97,0.02,0.99,98,male,yes
1,1,6,6,improvement,high,high,difficult,0.92,0.01,0.71,0.99,0.02,0.96,99,female,no
1,1,6,6,improvement,low,high,difficult,0.77,0.01,0.71,0.99,0.02,0.96,99,female,no
1,1,6,6,improvement,high,medium,easy,0.19,0.01,0.71,0.99,0.02,0.96,99,female,no
1,1,6,6,improvement,low,high,easy,0.5,0.01,0.71,0.99,0.02,0.96,99,female,no
1,1,6,6,improvement,high,low,difficult,0.07,0.01,0.71,0.99,0.02,0.96,99,female,no
1,1,6,6,improvement,low,medium,easy,0.36,0.01,0.71,0.99,0.02,0.96,99,female,no
1,1,6,6,performance,high,medium,difficult,0.61,0.01,0.71,0.99,0.02,0.96,99,female,no
1,1,6,6,performance,high,low,difficult,0.58,0.01,0.71,0.99,0.02,0.96,99,female,no
1,1,6,6,performance,low,low,easy,0.16,0.01,0.71,0.99,0.02,0.96,99,female,no
1,1,6,6,performance,low,medium,easy,0.36,0.01,0.71,0.99,0.02,0.96,99,female,no
1,1,6,6,performance,high,medium,easy,0.85,0.01,0.71,0.99,0.02,0.96,99,female,no
1,1,6,6,performance,low,high,easy,0.77,0.01,0.71,0.99,0.02,0.96,99,female,no
1,1,6,6,improvement,low,medium,difficult,0.6,0.0,0.4,1.0,0.0,1.0,100,male,yes
1,1,6,6,improvement,high,high,easy,0.23,0.0,0.4,1.0,0.0,1.0,100,male,yes
1,1,6,6,improvement,high,low,difficult,0.02,0.0,0.4,1.0,0.0,1.0,100,male,yes
1,1,6,6,improvement,low,high,difficult,1,0.0,0.4,1.0,0.0,1.0,100,male,yes
1,1,6,6,improvement,high,low,easy,0,0.0,0.4,1.0,0.0,1.0,100,male,yes
1,1,6,6,improvement,low,medium,easy,0.63,0.0,0.4,1.0,0.0,1.0,100,male,yes
1,1,6,6,performance,low,low,difficult,0.18,0.0,0.4,1.0,0.0,1.0,100,male,yes
1,1,6,6,performance,high,high,difficult,0.75,0.0,0.4,1.0,0.0,1.0,100,male,yes
1,1,6,6,performance,high,low,easy,0.87,0.0,0.4,1.0,0.0,1.0,100,male,yes
1,1,6,6,performance,high,low,difficult,0.47,0.0,0.4,1.0,0.0,1.0,100,male,yes
1,1,6,6,performance,low,high,easy,0.75,0.0,0.4,1.0,0.0,1.0,100,male,yes
1,1,6,6,performance,low,high,difficult,0.54,0.0,0.4,1.0,0.0,1.0,100,male,yes
5,5,3,2,improvement,low,low,difficult,0.37,0.0,0.62,1.0,0.0,1.0,101,female,no
5,5,3,2,improvement,high,high,easy,0.61,0.0,0.62,1.0,0.0,1.0,101,female,no
5,5,3,2,improvement,low,high,difficult,0.65,0.0,0.62,1.0,0.0,1.0,101,female,no
5,5,3,2,improvement,low,low,easy,0.3,0.0,0.62,1.0,0.0,1.0,101,female,no
5,5,3,2,improvement,high,medium,easy,0.55,0.0,0.62,1.0,0.0,1.0,101,female,no
5,5,3,2,improvement,high,medium,difficult,0.59,0.0,0.62,1.0,0.0,1.0,101,female,no
5,5,3,2,performance,high,high,difficult,1,0.0,0.62,1.0,0.0,1.0,101,female,no
5,5,3,2,performance,high,low,easy,0.71,0.0,0.62,1.0,0.0,1.0,101,female,no
5,5,3,2,performance,low,medium,easy,0.61,0.0,0.62,1.0,0.0,1.0,101,female,no
5,5,3,2,performance,low,high,easy,0.68,0.0,0.62,1.0,0.0,1.0,101,female,no
5,5,3,2,performance,low,medium,difficult,0.72,0.0,0.62,1.0,0.0,1.0,101,female,no
5,5,3,2,performance,high,high,easy,0.89,0.0,0.62,1.0,0.0,1.0,101,female,no
4,4,3,3,improvement,low,high,easy,0.62,0.01,0.67,1.0,0.0,1.0,102,male,no
4,4,3,3,improvement,low,low,easy,0.35,0.01,0.67,1.0,0.0,1.0,102,male,no
4,4,3,3,improvement,high,low,easy,0.1,0.01,0.67,1.0,0.0,1.0,102,male,no
4,4,3,3,improvement,high,high,easy,0.2,0.01,0.67,1.0,0.0,1.0,102,male,no
4,4,3,3,improvement,high,medium,easy,0.16,0.01,0.67,1.0,0.0,1.0,102,male,no
4,4,3,3,improvement,low,medium,easy,0.48,0.01,0.67,1.0,0.0,1.0,102,male,no
4,4,3,3,performance,high,low,difficult,0.34,0.01,0.67,1.0,0.0,1.0,102,male,no
4,4,3,3,performance,low,high,difficult,0.6,0.01,0.67,1.0,0.0,1.0,102,male,no
4,4,3,3,performance,high,high,easy,0.97,0.01,0.67,1.0,0.0,1.0,102,male,no
4,4,3,3,performance,high,medium,easy,0.74,0.01,0.67,1.0,0.0,1.0,102,male,no
4,4,3,3,performance,low,high,easy,0.61,0.01,0.67,1.0,0.0,1.0,102,male,no
4,4,3,3,performance,high,low,easy,0.82,0.01,0.67,1.0,0.0,1.0,102,male,no
3,3,4,4,improvement,low,low,easy,0.03,0.0,0.55,1.0,0.01,0.99,103,female,yes
3,3,4,4,improvement,low,low,difficult,0.01,0.0,0.55,1.0,0.01,0.99,103,female,yes
3,3,4,4,improvement,high,medium,easy,0.03,0.0,0.55,1.0,0.01,0.99,103,female,yes
3,3,4,4,improvement,high,medium,difficult,0.04,0.0,0.55,1.0,0.01,0.99,103,female,yes
3,3,4,4,improvement,high,low,easy,0.02,0.0,0.55,1.0,0.01,0.99,103,female,yes
